ability,sposobnost
copy
core
corner
corporation
correct,upravo
cost
council
country,država
countryside
county
couple
course
court
cover
creation
credit
crime
crisis
criticism
cross
crowd
crown
culture
cup
currency
curriculum
customer
dad
damage
danger
date
daughter
day,dan
deal
death
debate
debt
decade
decision
decline
defence
definition
degree
delivery
demand
democracy
department
deputy
description
design
desire
desk
detail
development
diet
difference
difficulty
dinner
direction
director
discipline
discussion
disease
display
distance
distinction
distribution
district
division
doctor
document
dog
door,vrata
doubt
drama
dream
dress
drink
drive
driver
drug
duty
earth
east
economy
edge
editor
education,education
effect
efficiency
effort
eggs,jaja
election
electricity
element
emergency
emphasis
empire
employment
end,kraj
energy
engine
english
enterprise
entry
environment
equipment
error
establishment
estate
event
evidence
examination
example
exchange
executive
exercise
exhibition
existence
expansion
expenditure
experience
expert
explanation
expression
extension
extent
eye,oko
face,lice
fact,fakt
factor
factory
failure
faith
fall
family,familija
farm
fashion
father,otac
favour
fear
feature
fence,ograda
field
fig.
figure
file
film
finance
fire
firm
fish
flat
flight
floor,sprat
flow
focus
food
foot
football
force,sila
forest
form
formation
foundation
framework
frank
freedom
friend,prijatelj
front
fruit
fuel
fun
function
fund
furniture
future
gallery
game,igra
gap
garden
gas
gate
general
generation
gentleman
girl,djevojka
glass
goal
god
gold
golf
government,vlada
graham
grant
grass,trava
green
group,grupa
growth
guide
gun
guy,momak
hair
half
hall
hand,ruka
head,glava
health,zdravlje
heart
heat
height
hell
help
henry
hill
history,istorija
hole
holiday
home,kuća
hope
horse
hospital
hotel
hour
hour/clock,sat
house
household
husband
ice
idea,ideja
identity
image
impact
importance
impression
improvement
incident
income
increase
independence
index
individual
industry
inflation
influence
information,informacija
initiative
injury
inquiry
instance
institute
institution
insurance
intelligence
intention
interest
interpretation
interview
introduction
investigation
investment
involvement
iron
island
issue,izdanje
item
jack
jane
japan
job
joe
john
jones
journey
judge
juice,sok
justice
key
kind,vrsta
king
kingdom
kitchen
knowledge
labour
lack
lady
lake
lamb,janjetina
land
lane
language
law,zakon
lead
leader
leadership
league
lee
leg
legislation
length
letter
level
lewis
liability
library
licence
life,život
lifespan
light
limit
line,red
link
list
literature
loan
location
look
lord
loss
lot,zemlja
love
lunch
machine
magazine
maintenance
major
majority
man,čovjek
management
manager
manchester
manner
map
march
mark
market
marriage
martin
mary
mass
master
match
material
may
meal
measure
meat,meso
member,član
membership
memory
message
metal
method
middle
mike
milk
mill
mind
minister
ministry
minority
minute,minuta
mirror
miss
mistake
model
moment,trenutak
money,pare
month
month/moon,mjesec
morning,jutro
mother,majka
motion
motor
mountain
mouth
move
movement
mum
murder
museum
music
name,ime
nation
nature
neck
need
network
new
news
newspaper
night,noć
no
noise
north
northern
nose,nos
note
notice
notion
number,broj
object
occasion
offence
offer
office,kancelarija
officer
oil
onion,luk
operation
opinion
opportunity
opposition
option
order
organisation
organization
other
others,drugi
outcome
output
owner
oxford
package
page
pain
pair
palace
panel
pants,patalone
paper
parent,roditelj
parish
park
parliament
part,dio
partner
partnership
party,zabava
passage
past
path
patient
pattern
paul
pay
payment
peace
peas,grašak
pension
people,ljudi
pepper,paprika
performance
period
person,osoba
peter
phase
philosophy
phone
physics,fizika
picture
piece
place
place/space,mjesto
plan
plane
plant
plastic
plate
play
player
pleasure
point,točka
police
policy
pollution
pool
population
port
position
possibility
post
post/pole,stupac
potato,krompir
potential
pound
power,vlast
pp.
practice
presence
present
president,predsjednik
press
pressure
price
prince
principle
priority
prison
problem,problem
procedure
process
product
production
professor
profit
program,program
programme
progress
project
property
proportion
proposal
protection
provision
pub
public
publication
purpose
quality
quarter
queen
question,pitanje
race
radio
rail
railway
rain
range
rate
reaction
reader
reality
reason,razlog
recession
recognition
record
recovery
reduction
ref
reference
reform
regime
region
relation
relationship
release
relief
religion
report
representation
republic
reputation
request
research,istraživanje
resistance
resolution
respect
response
responsibility
rest
restaurant
result,rezultat
retirement
return
revenue
review
revolution
right
ring
rise
risk
river
road
rock,kamen
role
roof
room,soba
round
route
row
rugby
rule
run
safety
sale
sample
scale
scene
scheme
school,škola
science
scope
screen
sea
search
season
seat
second
secretary
section
sector
security
selection
self
sense
sentence
sequence
series
service,servis
session
set
settlement
sex
shape
share
sheet
ship
shirt,majca
shock
shoes,patike
shop
shoulder
show
side,strana
sight
sign
significance
silence
silver
simon
sir
sister
site
situation
size
skill
skin
sky
sleep
smile
smith
snow
society
software
soil
solution
son
song
sort
sound
source
south
space
speaker
specialist
species
speech
speed
spirit
spokesman
sport
spot
spring
square
st
staff
stage
standard
star
stars,zvezde
start
state
state/condition,stanje
statement
station
status
steel
step
stock
stone
store,tregovina
story,priča
strategy
street
strength
stress
strike
structure
struggle
student,učenik
study
stuff
style
subject
success
sugar
sum
summer
sun,sunse
supply
support
surface
surprise
survey
system,sistem
table
talk
tape
target
task
tax
taylor
tea
teacher,učitelj
team,tim
technique
technology
telephone
television
temperature
term
test
text
thatcher
theatre
theme
theory
thing,stvar
threat
time,vreme
title
tom
tomato,paradise
tone
tony
top
total
touch
tour
town
track
trade
tradition
traffic
train
transfer
transport
trash,smeče
travel
treatment
treaty
tree,drvo
trial
trip
trouble
truck,kamijon
trust
truth
turn
tv
type
un
uncle
unemployment
union
unit
university
us
use
user
valley
value
van
variety
vehicle
version
victim
victory
video
view
village
violence
vision
visit
voice
volume
vote
walk
wall
war,rat
waste
water,voda
way,put
wealth
weather
week,tjedan
weekend
weight
welfare
west
while
white
whole
wife
will
wind
window,prozor
wine
winter
woman,ženska
wood
word,riječ
work,posao
worker
world,svijet
writer
year,godina
youth
time
1,jedan
2,dva
3,tri
4,četiri
5,pet
6,šest
7,sedam
8,osam
9,devet
10,deset
11,jedanaest
12,dvanaest
13,trinaest
20,dvadeset
21,jedan
22,dva
23,tri
30,trideset
40,četrdeset
50,pedeset
60,šezdeset
70,sedamdeset
80,osamdeset
90,devedeset
100,što
500,petsto
1000,hiljada
a
able,moći
about
accept,primiti
achieve
across
add
admire
admit
advise
affect
afford
after
again
against
agree
alert
all
allow,dozvoliti
almost
among
amuse
analyse
and
announce
annoy
answer
any
apologise
appear
applaud
apply
appreciate
approve
argue
arrange
arrest
arrive
as
ask,pitati
at
attach
attack
attempt,pokušati
attend
attract
avoid
back
bake
balance
ban
bang
bare
bat
bathe
battle
be
beam
because
become
before
beg
begin,početi
behave
believe,verovati
belong
between
bless
blind
blink
blot
blush
boast
boil
bomb
book
bore
borrow,posuditi
bounce
bow
box
brake
branch
break,slomiti
breathe
bring,donijeti
bruise
brush
bubble
build
bump
burn
bury
but
buy,kupiti
by
calculate
call
camp
can/be,moći
cancel,otkazati
care
carry
carve
catch
cause
challenge
change
charge
chase
cheat
check
cheer
chew
choke
choose
chop
claim
clap
clean,očistiti
clear
clip
close
close/shut,zatvoriti
coach
coil
collect
colour
comb,češljati
come,doći
command
communicate
compare
compete
complain
complete
concentrate
concern
confess
confuse
connect
consider
consist
contain
continue
contribute
control
cook,kuvati
copy
correct
cost
cough,kašljati
could
count,brojati
cover
crack
crash
crawl
create
cross
crush
cry
cure
curl
curve
cut,sjeći
cycle
dam
damage
dance,plesati
dare
deal
decay
deceive
decide
deliver
deny
depend
describe
desert
deserve
destroy
detect
develop
disappear
disapprove
disarm
discover
dislike
divide
do
double
doubt
down
draw,crtati
dress
drink,piti
drip
drive,voziti
drop
drown
drum
dry
earn
east
eat,jesti
educate
embarrass
employ
empty
encourage
end
enjoy
enough
enter
entertain
escape
even
ever
every
examine
excite
excuse
exercise
exist
expand
expect
experience
explain,objasniti
explode
express
extend
face
fade
fail
fall,pasti
fancy
far
fasten
fax
fear
feel
fence
fetch
file
fill,napuniti
film
find,pronaći
finish,završiti
fire
fit,pasovati
fix,popraviti
flap
flash
float
flood
flow
flower
fly,leteti
fold
follow
fool
for
force
forget,zaboraviti
forgive
form
forward
found
frame
frighten
from
fry
gather
gaze
get,dobiti
give,dati
glow
glue
go,ići
grab
grate
grease
greet
grin
grip
groan
grow
guarantee
guard
guess
guide
hammer
hand
handle
hang
happen
harass
harm
hate
haunt
have,imati
he
head
heal
heap
hear,čuti
heat
help
here
hide
hold
hook
hop
hope
hover
how
hug
hum
hunt
hurry
hurt,povrediti
i
identify
identity
if
ignore
imagine
impress
improve
in
include
increase
influence
inform
inject
injure
instruct
intend
interest
interfere
interrupt
introduce
invent
invite
involve
irritate
itch
jail
jam
jog
join
joke
judge
juggle
jump
keep
kick
kill
kiss
kneel
knit
knock
knot
know,znati
label
land
last
laugh
launch
learn,učiti
leave,ostaviti
lend
let
level
license
lick
lie
lighten
like
limit
list
listen,slušati
little
live,živeti
load
lock
long
look,gledati
look,tražiti
lose,izgubiti
love
make,praviti
man
manage
march
mark
marry
match
mate
matter
may
mean
measure
meddle
meet
melt
memorise
mend
mention
mess
milk
mind
mine
miss
mix
moan
mourn
move
much
mug
multiply
murder
must
nail
name
near
need,trebati
nest
no
nod
north
not
note
notice
now
number
obey
object
observe
obtain
occur
of
off
offend
offer
on
only
open,otvoriti
or
order
organise,organizovati
other
out
over
overflow
owe
own
pack
paddle
paint
park
part
pass
paste
pat
pause
pay,platiti
peck
pedal
peel
peep
perform,svirati
permit
phone
pick
pinch
pine
place
plan
plant
play,igrati
please
plug
point
poke
polish
pop
possess
post
pour
practise
pray
preach
precede
prefer
prepare
present
preserve
press
pretend
prevent
prick
print
produce
program
promise
protect
provide
pull
pump
punch
puncture
punish
push
put,staviti
question
queue
quite
race
radiate
rain
raise
reach
read,čitati
realise
receive
receive/accept,primiti
recognise
record
reduce
reflect
refuse
regard
regret
reign
reject
rejoice
relate
relax
release
rely
remain
remember
remind
remove
repair
repeat
replace
reply
report
reproduce
request
rescue
respond,odgovoriti
result
retire
return
reveal
rhyme
rinse
rise
risk
rob
rock
roll
rot
rub
ruin
rule
run,trčati
rush
sack
sail
satisfy
save
saw
say,rećiti
scare
scatter
scold
scorch
scrape
scratch
scream
screw
scribble
scrub
seal
search
see,videti
seem
sell,prodati
send,poslati
separate
serve
set
settle
shade
share
shave
shelter
shiver
shock
shoot
shop
show
shrug
sigh
sign,potpisati
signal
sin
sing,pjevati
sip
sit,sjesti
ski
skip
slap
sleep,spavati
slip
slow
smash
smell
smile
smoke,pušiti
snatch
sneeze
sniff
snore
snow
so
soak
some
soothe
sound
south
spare
spark
sparkle
speak,govoriti
spell,spelovati
spend,potrošiti
spend,provesti
spill
spoil
spot
spray
sprout
squash
squeak
squeal
squeeze
stain
stamp
stand,stajati
stare
start
state
stay
steer
step
still
stir
stitch
stop
store
strap
strengthen
stretch
strip
stroke
study
stuff
subtract
succeed,uspeti
such
suck
suffer
suggest
suit
supply
support
suppose
surprise
surround
survive
suspect
suspend
swim,plivati
switch
take,uzeti
talk,pričati
tame
tap
taste
tease
telephone
tell,kazati
tempt
tend
terrify
test
than
thank
that
thaw
the
then
there
think,misliti
this
though
through
throw
tick
tickle
tie
till
time
tip
tire
to
together
tomorrow
touch
tour
tow
trace
trade
train
translate,prevesti
transport
trap
travel,putovati
treat
tremble
trick
trip
trot
trouble
trust
try,probati
tug
tumble
turn
turn,isključiti
turn,uključiti
twist
type
type,tipkati
under
understand,razumeti
undress
unfasten
unite
unlock
unpack
untidy
up
use,koristiti
vanish
very
visit
wail
wait,čekati
wake,probuditi
walk
wander
want,želeti
warm
warn
wash
waste
watch,gledati
water
wave
weigh
welcome
well
west
when
where
while
whine
whip
whirl
whisper
whistle
who
why
will
win
wink
wipe
wish
with
wobble
wonder
work
work/do,raditi
worry,brinuti
wrap
wreck
wrestle
wriggle
write,pisati
yawn
yell
yes
yesterday
you
zip
zoom
