ability	sposobnost
construction	izgradnja
consumer	potrošač
contact
content
context
contract
contrast
contribution
control
convention
conversation
copy
core
corner
corporation
correct	управо upravo
cost
council
country	држава država
countryside
county
couple
course
court
cover
creation
credit
crime
crisis
criticism
cross
crowd
crown
culture
cup
currency
curriculum
customer
dad
damage
danger
date
daughter
day	дан dan
deal
death
debate
debt
decade
decision
decline
defence
definition
degree
delivery
demand
democracy
department
deputy
description
design
desire
desk
detail
development
diet
difference
difficulty
dinner
direction
director
discipline
discussion
disease
display
distance
distinction
distribution
district
division
doctor
document
dog
door	врата vrata
doubt
drama
dream
dress
drink
drive
driver
drug
duty
earth
east
economy
edge
editor
education	едуцатион education
effect
efficiency
effort
eggs	jaja
election
electricity
element
emergency
emphasis
empire
employment
end	крај kraj
energy
engine
english
enterprise
entry
environment
equipment
error
establishment
estate
event
evidence
examination
example
exchange
executive
exercise
exhibition
existence
expansion
expenditure
experience
expert
explanation
expression
extension
extent
eye	око oko
face	лице lice
fact	факт fakt
factor
factory
failure
faith
fall
family	фамилија familija
farm
fashion
father	отац otac
favour
fear
feature
fence	ograda
field
fig.
figure
file
film
finance
fire
firm
fish
flat
flight
floor	спрат sprat
flow
focus
food
foot
football
force	сила sila
forest
form
formation
foundation
framework
frank
freedom
friend	пријатељ prijatelj
front
fruit
fuel
fun
function
fund
furniture
future
gallery
game	игра igra
gap
garden
gas
gate
general
generation
gentleman
girl	дјевојка djevojka
glass
goal
god
gold
golf
government	влада vlada
graham
grant
grass	trava
green
group	група grupa
growth
guide
gun
guy	момак momak
hair
half
hall
hand	рука ruka
head	глава glava
health	здравље zdravlje
heart
heat
height
hell
help
henry
hill
history	историја istorija
hole
holiday
home	куча kuća
hope
horse
hospital
hotel
hour
hour/clock	сат sat
house
household
husband
ice
idea	идеја ideja
identity
image
impact
importance
impression
improvement
incident
income
increase
independence
index
individual
industry
inflation
influence
information	информација informacija
initiative
injury
inquiry
instance
institute
institution
insurance
intelligence
intention
interest
interpretation
interview
introduction
investigation
investment
involvement
iron
island
issue	издање izdanje
item
jack
jane
japan
job
joe
john
jones
journey
judge
juice	sok
justice
key
kind	врста vrsta
king
kingdom
kitchen
knowledge
labour
lack
lady
lake
lamb	janjetina
land
lane
language
law	закон zakon
lead
leader
leadership
league
lee
leg
legislation
length
letter
level
lewis
liability
library
licence
life	живот život
lifespan
light
limit
line	ред red
link
list
literature
loan
location
look
lord
loss
lot	земља zemlja
love
lunch
machine
magazine
maintenance
major
majority
man	човјек čovjek
management
manager
manchester
manner
map
march
mark
market
marriage
martin
mary
mass
master
match
material
may
meal
measure
meat	meso
member	члан član
membership
memory
message
metal
method
middle
mike
milk
mill
mind
minister
ministry
minority
minute	минута minuta
mirror
miss
mistake
model
moment	тренутак trenutak
money	паре pare
month
month/moon	мјесец mjesec
morning	јутро jutro
mother	мајка majka
motion
motor
mountain
mouth
move
movement
mum
murder
museum
music
name	име ime
nation
nature
neck
need
network
new
news
newspaper
night	ноћ noć
no
noise
north
northern
nose	nos
note
notice
notion
number	број broj
object
occasion
offence
offer
office	канцеларија kancelarija
officer
oil
onion	luk
operation
opinion
opportunity
opposition
option
order
organisation
organization
other
others	други drugi
outcome
output
owner
oxford
package
page
pain
pair
palace
panel
pants	patalone
paper
parent	родитељ roditelj
parish
park
parliament
part	дио dio
partner
partnership
party	забава zabava
passage
past
path
patient
pattern
paul
pay
payment
peace
peas	grašak
pension
people	људи ljudi
pepper	paprika
performance
period
person	особа osoba
peter
phase
philosophy
phone
physics	fizika
picture
piece
place
place/space	мјесто mjesto
plan
plane
plant
plastic
plate
play
player
pleasure
point	точка točka
police
policy
pollution
pool
population
port
position
possibility
post
post/pole	stupac
potato	krompir
potential
pound
power	власт vlast
pp.
practice
presence
present
president	предсједник predsjednik
press
pressure
price
prince
principle
priority
prison
problem	проблем problem
procedure
process
product
production
professor
profit
program	програм program
programme
progress
project
property
proportion
proposal
protection
provision
pub
public
publication
purpose
quality
quarter
queen
question	питање pitanje
race
radio
rail
railway
rain
range
rate
reaction
reader
reality
reason	разлог razlog
recession
recognition
record
recovery
reduction
ref
reference
reform
regime
region
relation
relationship
release
relief
religion
report
representation
republic
reputation
request
research	истраживање istraživanje
resistance
resolution
respect
response
responsibility
rest
restaurant
result	резултат rezultat
retirement
return
revenue
review
revolution
right
ring
rise
risk
river
road
rock	kamen
role
roof
room	соба soba
round
route
row
rugby
rule
run
safety
sale
sample
scale
scene
scheme
school	школа škola
science
scope
screen
sea
search
season
seat
second
secretary
section
sector
security
selection
self
sense
sentence
sequence
series
service	сервис servis
session
set
settlement
sex
shape
share
sheet
ship
shirt	majca
shock
shoes	patike
shop
shoulder
show
side	страна strana
sight
sign
significance
silence
silver
simon
sir
sister
site
situation
size
skill
skin
sky
sleep
smile
smith
snow
society
software
soil
solution
son
song
sort
sound
source
south
space
speaker
specialist
species
speech
speed
spirit
spokesman
sport
spot
spring
square
st
staff
stage
standard
star
stars	zvezde
start
state
state/condition	стање stanje
statement
station
status
steel
step
stock
stone
store	tregovina
story	прича priča
strategy
street
strength
stress
strike
structure
struggle
student	ученик učenik
study
stuff
style
subject
success
sugar
sum
summer
sun	sunse
supply
support
surface
surprise
survey
system	систем sistem
table
talk
tape
target
task
tax
taylor
tea
teacher	учитељ učitelj
team	тим tim
technique
technology
telephone
television
temperature
term
test
text
thatcher
theatre
theme
theory
thing	ствар stvar
threat
time	време vreme
title
tom
tomato	paradise
tone
tony
top
total
touch
tour
town
track
trade
tradition
traffic
train
transfer
transport
trash	smeče
travel
treatment
treaty
tree	drvo
trial
trip
trouble
truck	kamijon
trust
truth
turn
tv
type
un
uncle
unemployment
union
unit
university
us
use
user
valley
value
van
variety
vehicle
version
victim
victory
video
view
village
violence
vision
visit
voice
volume
vote
walk
wall
war	рат rat
waste
water	вода voda
way	пут put
wealth
weather
week	тједан tjedan
weekend
weight
welfare
west
while
white
whole
wife
will
wind
window	prozor
wine
winter
woman	женска ženska
wood
word	ријеч riječ
work	посао posao
worker
world	свијет svijet
writer
year	година godina
youth
time
1	један jedan
2	два dva
3	три tri
4	четири četiri
5	пет pet
6	шест šest
7	седам sedam
8	осам osam
9	девет devet
10	десет deset
11	једанаест jedanaest
12	дванаест dvanaest
13	тринаест trinaest
20	двадасет dvadeset
21	двадасет један dvadeset jedan
22	двадесет два dvadeset dva
23	двадасет три dvadaset tri
30	тридесет trideset
40	четрдесет četrdeset
50	педесет pedeset
60	шездесет šezdeset
70	седамдесет sedamdeset
80	осамдесет osamdeset
90	деведесет devedeset
100	што što
500	петсто petsto
1000	хиљада hiljada
a
able	моћи moći
about
accept	примити primiti
achieve
across
add
admire
admit
advise
affect
afford
after
again
against
agree
alert
all
allow	дозволити dozvoliti
almost
among
amuse
analyse
and
announce
annoy
answer
any
apologise
appear
applaud
apply
appreciate
approve
argue
arrange
arrest
arrive
as
ask	питати pitati
at
attach
attack
attempt	покушати pokušati
attend
attract
avoid
back
bake
balance
ban
bang
bare
bat
bathe
battle
be
beam
because
become
before
beg
begin	почети početi
behave
believe	веровати verovati
belong
between
bless
blind
blink
blot
blush
boast
boil
bomb
book
bore
borrow	посудити posuditi
bounce
bow
box
brake
branch
break	сломити slomiti
breathe
bring	донијети donijeti
bruise
brush
bubble
build
bump
burn
bury
but
buy	купити kupiti
by
calculate
call
camp
can/be able	моћи moći
cancel	отказити otkazati
care
carry
carve
catch
cause
challenge
change
charge
chase
cheat
check
cheer
chew
choke
choose
chop
claim
clap
clean	очистити očistiti
clear
clip
close
close/shut	затворити zatvoriti
coach
coil
collect
colour
comb	чешљати češljati
come	доћи doći
command
communicate
compare
compete
complain
complete
concentrate
concern
confess
confuse
connect
consider
consist
contain
continue
contribute
control
cook	kuvati
copy
correct
cost
cough	кашљати kašljati
could
count	бројати brojati
cover
crack
crash
crawl
create
cross
crush
cry
cure
curl
curve
cut	сјећи sjeći
cycle
dam
damage
dance	плесати plesati
dare
deal
decay
deceive
decide
deliver
deny
depend
describe
desert
deserve
destroy
detect
develop
disappear
disapprove
disarm
discover
dislike
divide
do
double
doubt
down
draw	цртати crtati
dress
drink	пити piti
drip
drive	возити voziti
drop
drown
drum
dry
earn
east
eat	јести jesti
educate
embarrass
employ
empty
encourage
end
enjoy
enough
enter
entertain
escape
even
ever
every
examine
excite
excuse
exercise
exist
expand
expect
experience
explain	објаснити objasniti
explode
express
extend
face
fade
fail
fall	пасти pasti
fancy
far
fasten
fax
fear
feel
fence
fetch
file
fill	напунити napuniti
film
find	пронаћи pronaći
finish	завршити završiti
fire
fit	пасовати pasovati
fix	поправити popraviti
flap
flash
float
flood
flow
flower
fly	летети leteti
fold
follow
fool
for
force
forget	заборавити zaboraviti
forgive
form
forward
found
frame
frighten
from
fry
gather
gaze
get		добити dobiti
give	дати dati
glow
glue
go	ићи ići
grab
grate
grease
greet
grin
grip
groan
grow
guarantee
guard
guess
guide
hammer
hand
handle
hang
happen
harass
harm
hate
haunt
have	имати imati
he
head
heal
heap
hear	чути čuti
heat
help
here
hide
hold
hook
hop
hope
hover
how
hug
hum
hunt
hurry
hurt	повредити povrediti
i
identify
identity
if
ignore
imagine
impress
improve
in
include
increase
influence
inform
inject
injure
instruct
intend
interest
interfere
interrupt
introduce
invent
invite
involve
irritate
itch
jail
jam
jog
join
joke
judge
juggle
jump
keep
kick
kill
kiss
kneel
knit
knock
knot
know	знати znati
label
land
last
laugh
launch
learn	учити učiti
leave	оставити ostaviti
lend
let
level
license
lick
lie
lighten
like
limit
list
listen	слушати slušati
little
live	живети živeti
load
lock
long
look	гледати gledati
look for	tražiti
lose	изгубити izgubiti
love
make	правити praviti
man
manage
march
mark
marry
match
mate
matter
may
mean
measure
meddle
meet
melt
memorise
mend
mention
mess
milk
mind
mine
miss
mix
moan
mourn
move
much
mug
multiply
murder
must
nail
name
near
need	требати trebati
nest
no
nod
north
not
note
notice
now
number
obey
object
observe
obtain
occur
of
off
offend
offer
on
only
open	отворити otvoriti
or
order
organise	организовати organizovati
other
out
over
overflow
owe
own
pack
paddle
paint
park
part
pass
paste
pat
pause
pay	платити platiti
peck
pedal
peel
peep
perform	свирати svirati
permit
phone
pick
pinch
pine
place
plan
plant
play	играти igrati
please
plug
point
poke
polish
pop
possess
post
pour
practise
pray
preach
precede
prefer
prepare
present
preserve
press
pretend
prevent
prick
print
produce
program
promise
protect
provide
pull
pump
punch
puncture
punish
push
put	ставити staviti
question
queue
quite
race
radiate
rain
raise
reach
read	читати čitati
realise
receive
receive/accept	примити primiti
recognise
record
reduce
reflect
refuse
regard
regret
reign
reject
rejoice
relate
relax
release
rely
remain
remember
remind
remove
repair
repeat
replace
reply
report
reproduce
request
rescue
respond	одговорити odgovoriti
result
retire
return
reveal
rhyme
rinse
rise
risk
rob
rock
roll
rot
rub
ruin
rule
run	трчати trčati
rush
sack
sail
satisfy
save
saw
say	речити rećiti
scare
scatter
scold
scorch
scrape
scratch
scream
screw
scribble
scrub
seal
search
see	видети videti
seem
sell	продати prodati
send	послати poslati
separate
serve
set
settle
shade
share
shave
shelter
shiver
shock
shoot
shop
show
shrug
sigh
sign	потписати potpisati
signal
sin
sing	пјевати pjevati
sip
sit	сјести sjesti
ski
skip
slap
sleep	спавати spavati
slip
slow
smash
smell
smile
smoke	пушити pušiti
snatch
sneeze
sniff
snore
snow
so
soak
some
soothe
sound
south
spare
spark
sparkle
speak	говорити govoriti
spell	спеловати spelovati
spend (money)	потрошити potrošiti
spend (time)	провести provesti
spill
spoil
spot
spray
sprout
squash
squeak
squeal
squeeze
stain
stamp
stand	стајати stajati
stare
start
state
stay
steer
step
still
stir
stitch
stop
store
strap
strengthen
stretch
strip
stroke
study
stuff
subtract
succeed	успети uspeti
such
suck
suffer
suggest
suit
supply
support
suppose
surprise
surround
survive
suspect
suspend
swim	пливати plivati
switch
take	узети uzeti
talk	причати pričati
tame
tap
taste
tease
telephone
tell	казати kazati
tempt
tend
terrify
test
than
thank
that
thaw
the
then
there
think	мислити misliti
this
though
through
throw
tick
tickle
tie
till
time
tip
tire
to
together
tomorrow
touch
tour
tow
trace
trade
train
translate	превести prevesti
transport
trap
travel	путовати putovati
treat
tremble
trick
trip
trot
trouble
trust
try	пробати probati
tug
tumble
turn
turn off	искључити isključiti
turn on	укључити uključiti
twist
type
type (keyboard)	типкати tipkati
under
understand	разумети razumeti
undress
unfasten
unite
unlock
unpack
untidy
up
use	користити koristiti
vanish
very
visit
wail
wait	чекати čekati
wake	пробудити probuditi
walk
wander
want	желети želeti
warm
warn
wash
waste
watch	гледати gledati
water
wave
weigh
welcome
well
west
when
where
while
whine
whip
whirl
whisper
whistle
who
why
will
win
wink
wipe
wish
with
wobble
wonder
work
work/do	радити raditi
worry	бринути brinuti
wrap
wreck
wrestle
wriggle
write	писати pisati
yawn
yell
yes
yesterday
you
zip
zoom
