absolutely, apsolutno
wonder, čudo
wool, vuna
worldwide, u cijelom svijetu
worry, brinuti se
worse, gore
worst, najgori
worth, vrijedan
written, napisano
wrong, krivo
yard, dvorište
young, mlad
youth, mladosti
