ability, sposobnost
loud, glasno
loudly, glasno
lovely, lijep
low, nisko
luck, sreća
lucky, sretan
mail, pošta
major, major
male, muški
manage, upravljati
manager, menadžer
manner, način
mark, ocjena
marry, udati se
material, materijal
mathematics, matematika
maths, matematika
matter, materija
may, svibanj
media, medija
medical, medicinski
medicine, lijek
memory, memorija
mention, spomenuti
metal, metal
method, metoda
middle, sredina
might, moć
mind, um
mine, rudnik
mirror, ogledalo
missing, nedostaje
mobile, mobilni
monkey, majmun
moon, mjesec
mostly, uglavnom
motorcycle, motocikl
movement, pokret
musical, glazbeni
musician, glazbenik
myself, sebe
narrow, suziti
national, nacionalnim
nature, priroda
nearly, gotovo
necessary, potrebno
neck, vrat
need, potreba
neither, ni
nervous, živčani
network, mreža
noise, buka
noisy, glasan
none, nijedan
normal, normalan
normally, normalno, redovno
notice, obavijest
novel, roman
nowhere, nigdje
number, broj
nut, orah
ocean, ocean
offer, ponuda
officer, časnik
oil, ulje
onto, na
opportunity, prilika
option, opcija
ordinary, obični
organization, organizacija
organize, organizirati
original, izvornik
ourselves, sebe
outside, vani
oven, pećnica
own, vlastiti
owner, vlasnik
pack, paket
pain, bol
painter, slikar
palace, palača
pants, hlače
parking, parkiralište
particular, posebno
pass, proći
passenger, putnik
past, prošlost
patient, pacijent
pattern, uzorak
pay, platiti
peace, mir
penny, peni
per, po
per, po
perform, izvoditi
perhaps, možda
permission, dozvola
personality, osobnost
pet, ljubimac
petrol, benzin
photograph, fotografirati
physical, fizički
physics, fizika
pick, odabrati
pilot, pilot
planet, planeta
plant, biljka
plastic, plastične
plate, tanjur
platform, platforma
please, Molim
pleased, zadovoljan
pocket, džep
polite, pristojan
pollution, onečišćenja
pop, pop
population, stanovništvo
position, položaj
possession, posjed
possibility, mogućnost
poster, poster
power, vlast
predict, predvidjeti
present, predstaviti
president, predsjednik
prevent, spriječiti
print, ispisati
printer, pisač
prison, zatvor
prize, nagrada
process, postupak
produce, proizvoditi
professional, profesionalnim
professor, profesor
profile, profil
program, program
progress, napredak
promise, obećanje
pronounce, izgovoriti
protect, zaštititi
provide, pružiti
pub, pub
public, javnost
publish, objaviti
pull, Vuci
purpose, Svrha
push, gurnuti
quality, kvaliteta
quantity, količina
queen, kraljica
question, pitanje
quietly, tiho
race, utrke
railway, željeznička pruga
raise, podići
rate, stopa
rather, nego
reach, dohvatiti
react, reagirati
realize, shvatiti
receive, primiti
recent, nedavno
recently, nedavno
reception, recepcija
recipe, recept
recognize, prepoznati
recommend, Preporuči
record, snimiti
recording, snimanje
recycle, reciklirati
reduce, smanjiti
refer, uputiti
refuse1, odbiti 1
region, regija
regular, redovito
relationship, odnos
remove, ukloniti
repair, popravak
replace, zamijeniti
reply, odgovor
report, izvješće
reporter, reporter
request, zahtjev
research, istraživanje
researcher, istraživač
respond, odgovoriti
response, odgovor
rest, odmor
rest, odmor
review, pregled
ride, vožnja
ring1, prsten 1
ring2, prsten 2
rise, ustati
rock, stijena
rock, stijena
role, uloga
roof, krov
round, krug
route, ruta
rubbish, smeće
rude, nepristojan
run, trčanje
runner, trkač
running, trčanje
sadly, nažalost
safe, sef
sail, ploviti
sailing, jedrenje
salary, plaća
sale, prodaja
sauce, umak
save, uštedjeti
scared, prestrašen
scary, strašno
scene, scena
schedule, raspored
score, postići
screen, zaslon
search, traži
season, sezona
seat, sjedalo
second1, drugi 1
secondly, drugo
secret, tajna
secretary, tajnica
seem, činiti se
sense, osjećaj
separate, odvojeno
series, niz
serious, ozbiljan
serve, poslužiti
service, servis
several, nekoliko
shake, tresti
shall, će
shape, oblik
sheet, list
ship, brod
shoulder, rame
shout, vikati
shut, zatvoriti
side, strana
sign, znak
silver, srebro
simple, jednostavan
since, od
singing, pjevanje
single, singl
sir, gospodine
site, mjesto
size, veličina
ski, skijati
skiing, skijanje
skin, koža
sky, nebo
sleep, spavati
slowly, polako
smartphone, pametni telefon
smell, miris
smile, osmijeh
smoke, dim
smoking, pušenje
soap, sapun
soccer, nogomet
social, društvenim
society, društvo
sock, čarapa
soft, mekana
soldier, vojnik
solution, riješenje
solve, riješiti
somewhere, negdje
sort, vrsta
source, izvor
speaker, zvučnik
specific, specifično
speech, govor
speed, ubrzati
spider, pauk
spoon, žlica
square, kvadrat
stage, pozornica
stair, stubište
stamp, pečat
star, zvijezda
start, početak
state, država
stay, boravak
steal, ukrasti
step, korak
stomach, trbuh
stone, kamen
store, pohraniti
storm, oluja
straight, ravno
strange, čudno
strategy, strategija
stress, stres
structure, struktura
stupid, glupi
succeed, uspjeti
successful, uspješan
such, takav
suddenly, iznenada
suggest, predložiti
suggestion, prijedlog
suit, odijelo
support, podrška
suppose, pretpostavimo
sure, Naravno
surprise, iznenađenje
surprised, iznenađeno
surprising, iznenađujuće
survey, pregled
sweet, slatko
symbol, simbol
system, sustav
tablet, tableta
talk, razgovor
target, cilj
task, zadatak
taste, ukus
teaching, nastava
technology, tehnologija
teenage, tinejdžerski
temperature, temperatura
term, termin
text, tekst
themselves, se
thick, gusta
thief, lopov
thin, tanak
thinking, razmišljanje
third, treći
thought, misao
throw, bacanje
tidy, uredan, cist
tie, kravata
tip, Savjet
tool, alat
top, vrh
touch, dodir
tour, obilazak
tourism, turizam
towards, prema
towel, ručnik
tower, toranj
toy, igračka
track, staza
tradition, tradicija
traditional, tradicionalna
train, vlak
trainer, trener
training, trening
transport, prijevoz
traveller, putnik
trouble, nevolje
truck, kamion
twin, blizanac
typical, tipično
underground, pod zemljom
understanding, razumijevanje
unfortunately, nažalost
unhappy, nesretni
uniform, uniforma
unit, jedinica
united, ujedinjen
unusual, neobičan
upstairs, gore
use, koristiti
used, korišteni
user, korisnik
usual, uobičajeno
valley, dolina
van, kombi
variety, raznolikost
vehicle, vozilo
view, pogled
virus, virus
voice, glas
wait, čekati
war, rat
wash, pranje
washing, pranje
wave, val
weak, slab
web, mreža
wedding, vjenčanje
weight, težina
welcome, Dobrodošli
wet, mokri
wheel, kotač
while, dok
whole, cijeli
whose, čiji
wide, širok
wild, divlji
wind, vjetar
winner, pobjednik
wish, želja
wood, drvo
wooden, drvenim
working, radeći
worried, zabrinuti
worry, brinuti se
worse, gore
worst, najgori
wow, wow
yet, još
yours, tvoje
zero, nula
