about, oko
writer, pisac
writing, pisanje
wrong, krivo
yeah, Da
year, godina
yellow, žuta boja
yes, Da
yesterday, jučer
you, vas
young, mlad
your, tvoj
yourself, sami
