abandon, napustiti
solar, solarni
somewhat, nešto
soul, duša
specialist, specijalista
species, vrsta
speed, ubrzati
spiritual, duhovni
split, podjela
sponsor, sponzor
spot, mjesto
spread, širenje
stable, stabilan
stage, pozornica
stand, stajati
stare, buljiti
status, status
steady, postojan
steel, željezo
steep, strma
step, korak
sticky, ljepljiv
stiff, krut
stock, zaliha
stream, potok
stretch, rastegnuti
strict, strog
strike, štrajk
structure, struktura
struggle, borba
stuff, stvari
subject, predmet
submit, podnijeti
sum, iznos
surgery, kirurgija
surround, okružiti
surrounding, okolnim
survey, pregled
suspect, osumnjičeni
swear, psovati
sweep, pomesti
switch, sklopka
sympathy, simpatija
tale, priča
tank, tenk
target, cilj
tear, suza
temporary, privremeni
term, termin
therapy, terapija
threat, prijetnja
threaten, ugroziti
thus, Tako
time, vrijeme
title, titula
tone, ton
tough, tvrd
track, staza
transfer, prijenos
transform, transformirati
transition, tranzicija
trial, suđenje
trip, putovanje
tropical, tropski
trouble, nevolje
truly, uistinu
trust, povjerenje
try, probati
tune, ugoditi
tunnel, tunel
ultimately, u konačnici
unconscious, nesvjesno
unexpected, neočekivano
unique, jedinstvena
universe, svemir
unknown, nepoznato
upper, Gornji
upwards, prema gore
urban, urbana
urge, nagon
value, vrijednost
vary, varirati
vast, golem
venue, mjesto održavanja
very, vrlo
via, preko
victory, pobjeda
violence, nasilje
virtual, virtualan
vision, vizija
visual, vizualni
vital, vitalni
vitamin, vitamin
volume, volumen
wage, plaća
way, put
weakness, slabost
wealth, bogatstvo
wealthy, imućni
whereas, dok
wherever, gdje god
whisper, šapat
whom, kome
widely, široko
wildlife, divlje životinje
willing, voljni
wind, vjetar
wire, žice
wise, mudar
witness, svjedok
worse, gore
worst, najgori
worth, vrijedan
wound, rana
wrap, zamotati
wrong, krivo
yet, još
zone, zona
